fecha;cod_prov;provincia;casos_nuevos;casos_acum;incidencia;positividad;recuperados;defun_nuevos;defun_acum;procesadas
23/3/2020;3;Baoruco;0;0;;;;0;0;
23/3/2020;4;Barahona;0;1;;;;0;0;
23/3/2020;5;Dajabón;0;0;;;;0;0;
23/3/2020;1;Distrito Nacional;29;137;;;;0;0;
23/3/2020;6;Duarte;12;29;;;;3;4;
23/3/2020;8;El Seibo;0;0;;;;0;0;
23/3/2020;7;Elías Piña;0;0;;;;0;0;
23/3/2020;9;Espaillat;1;2;;;;0;0;
23/3/2020;30;Hato Mayor;0;0;;;;0;0;
23/3/2020;19;Hermanas Mirabal;0;3;;;;0;0;
23/3/2020;10;Independencia;0;0;;;;0;0;
23/3/2020;11;La Altagracia;4;11;;;;0;0;
23/3/2020;12;La Romana;-1;5;;;;0;0;
23/3/2020;13;La Vega;1;8;;;;0;0;
23/3/2020;14;María Trinidad Sánchez;1;3;;;;0;0;
23/3/2020;28;Monseñor Nouel;0;3;;;;0;0;
23/3/2020;15;Monte Cristi;0;0;;;;0;0;
23/3/2020;29;Monte Plata;0;0;;;;0;0;
23/3/2020;16;Pedernales;0;0;;;;0;0;
23/3/2020;17;Peravia;0;0;;;;0;0;
23/3/2020;18;Puerto Plata;2;5;;;;0;0;
23/3/2020;20;Samaná;1;5;;;;0;0;
23/3/2020;21;San Cristóbal;0;1;;;;0;0;
23/3/2020;31;San José de Ocoa;0;0;;;;0;0;
23/3/2020;22;San Juan;0;2;;;;0;1;
23/3/2020;23;San Pedro de Macorís;3;10;;;;0;1;
23/3/2020;24;Sánchez Ramírez;0;1;;;;0;0;
23/3/2020;25;Santiago;14;44;;;;0;0;
23/3/2020;26;Santiago Rodríguez;0;0;;;;0;0;
23/3/2020;32;Santo Domingo;1;40;;;;0;0;
23/3/2020;27;Valverde;0;1;;;;0;0;
24/3/2020;2;Azua;0;1;;;;0;0;
24/3/2020;3;Baoruco;0;0;;;;0;0;
24/3/2020;4;Barahona;1;2;;;;0;0;
24/3/2020;5;Dajabón;0;0;;;;0;0;
24/3/2020;1;Distrito Nacional;41;178;;;;1;1;
24/3/2020;6;Duarte;0;29;;;;0;4;
24/3/2020;8;El Seibo;0;0;;;;0;0;
24/3/2020;7;Elías Piña;0;0;;;;0;0;
24/3/2020;9;Espaillat;3;5;;;;0;0;
24/3/2020;30;Hato Mayor;2;2;;;;0;0;
24/3/2020;19;Hermanas Mirabal;0;3;;;;0;0;
24/3/2020;10;Independencia;1;1;;;;0;0;
24/3/2020;11;La Altagracia;1;12;;;;0;0;
24/3/2020;12;La Romana;0;5;;;;0;0;
24/3/2020;13;La Vega;0;8;;;;0;0;
24/3/2020;14;María Trinidad Sánchez;0;3;;;;0;0;
24/3/2020;28;Monseñor Nouel;0;3;;;;0;0;
24/3/2020;15;Monte Cristi;0;0;;;;0;0;
24/3/2020;29;Monte Plata;0;0;;;;0;0;
24/3/2020;16;Pedernales;0;0;;;;0;0;
24/3/2020;17;Peravia;0;0;;;;0;0;
24/3/2020;18;Puerto Plata;0;5;;;;0;0;
24/3/2020;20;Samaná;2;7;;;;1;1;
24/3/2020;21;San Cristóbal;3;4;;;;0;0;
24/3/2020;31;San José de Ocoa;0;0;;;;0;0;
24/3/2020;22;San Juan;0;2;;;;0;1;
24/3/2020;23;San Pedro de Macorís;0;10;;;;0;1;
24/3/2020;24;Sánchez Ramírez;5;6;;;;0;0;
24/3/2020;25;Santiago;9;53;;;;2;2;
24/3/2020;26;Santiago Rodríguez;0;0;;;;0;0;
24/3/2020;32;Santo Domingo;12;52;;;;0;0;
24/3/2020;27;Valverde;0;1;;;;0;0;
25/3/2020;2;Azua;3;4;;;;0;0;
25/3/2020;3;Baoruco;0;0;;;;0;0;
25/3/2020;4;Barahona;0;2;;;;0;0;
25/3/2020;5;Dajabón;0;0;;;;0;0;
25/3/2020;1;Distrito Nacional;57;235;;;;0;1;
